common常见贴图
sprite_common_activestatus.NPK                              异常状态效果
sprite_character_mage_effect_powder.NPK                     寒冰粉和猛毒粉
sprite_character_mage_effect_randompiercestrike.NPK         流星闪影击
sprite_character_mage_effect_sacrificespirit.NPK            精灵献祭
sprite_character_mage_effect_shururu.NPK                    舒露露
sprite_character_mage_effect_strengthhandstrike.NPK         强袭流星打
sprite_character_mage_effect_successpremonition.NPK         成功预感
sprite_character_mage_effect_summonmonsteraura.NPK          召唤光环
sprite_character_mage_effect_summonmonsterreckless.NPK     召唤兽狂化
sprite_character_mage_effect_sweetcandybar.NPK             幸运棒棒糖
sprite_character_mage_effect_targetit.NPK                   魔力印记
sprite_character_mage_effect_thunderstrike.NPK              天雷
sprite_character_mage_effect_timerbomb_dark.npk             暗属性炫纹爆弹攻击特效
sprite_character_mage_effect_timerbomb_fire.npk             火属性炫纹爆弹攻击特效
sprite_character_mage_effect_timerbomb_light.npk             光属性炫纹爆弹攻击特效
sprite_character_mage_effect_timerbomb_none.npk             无属性炫纹爆弹攻击特效
sprite_character_mage_effect_timerbomb_water.npk            冰属性炫纹爆弹攻击特效
sprite_character_mage_effect_transformflapper.NPK            苍蝇拍
sprite_character_mage_effect_unsummonmonster.npk             解除召唤
sprite_character_mage_effect_wallofice.NPK                   冰墙
sprite_monster_casillas_appear.NPK                          卡西亚斯出现效果
sprite_monster_casillas_body.NPK                           卡西亚斯身体
sprite_monster_casillas_moveslash.NPK                      卡西亚斯必杀剑千鬼杀
sprite_monster_casillas_slash.NPK                           卡西亚斯攻击特效
sprite_monster_casillas_swordrain.NPK                       卡西亚斯必杀剑地狱图
sprite_monster_monsterflower.NPK                           魔界花袄索
sprite_monster_spikeking.NPK                                精灵王
sprite_monster_spikeking_effect.NPK                        精灵王的攻击特效
sprite_monster_spirit.NPK                                   精灵众
sprite_monster_spirit_fire_higher.NPK                       召唤 - 火焰赫瑞克
sprite_character_mage_effect_broomspinex.NPK                魔道 - 弹跳旋转扫把
sprite_character_mage_effect_disenchant.NPK                 元素 - 光电冰墙特效
sprite_character_mage_effect_flamevolcanovoid.NPK           元素 - 虚无火山
sprite_character_mage_effect_randompiercestrikeex.NPK       战斗 - 流星雷连击
sprite_character_mage_effect_swingex.NPK                    炫纹碎霸
sprite_monster_soldier_sandorexpellerex.NPK                  愤怒的桑德尔
sprite_monster_spirit_spiritex.NPK                        精灵EX
sprite_character_mage_effect_transformflapperex.NPK          超级苍蝇拍
sprite_character_mage_effect_walloficeex.NPK                光电冰墙特效
圣职者
时装
sprite_character_priest_equipment_avatar_belt.NPK           腰部 
sprite_character_priest_equipment_avatar_cap.NPK            帽子 
sprite_character_priest_equipment_avatar_coat.NPK           上衣 
sprite_character_priest_equipment_avatar_face.NPK           脸部 
sprite_character_priest_equipment_avatar_hair.NPK           头发 
sprite_character_priest_equipment_avatar_neck.NPK           胸部 
sprite_character_priest_equipment_avatar_pants.NPK          裤子 
sprite_character_priest_equipment_avatar_shoes.NPK          鞋子 
sprite_character_priest_equipment_avatar_skin.NPK           皮肤 
武器
sprite_character_priest_equipment_weapon_axe.NPK            战斧
sprite_character_priest_equipment_weapon_cross.NPK          十字架
sprite_character_priest_equipment_weapon_rosary.NPK         念珠
sprite_character_priest_equipment_weapon_scythe.NPK         镰刀
sprite_character_priest_equipment_weapon_totem.NPK          图腾
职业特征
sprite_character_priest_effect_exorcist.NPK                            驱魔
sprite_character_priest_equipment_growtype.NPK              蓝拳
sprite_character_priest_effect.NPK                 圣骑、复仇、技能图标、其他特效
技能
sprite_character_priest_effect_antiairupper.NPK              空斩打特效
sprite_character_priest_effect_apocalypse.NPK               天启之珠
sprite_character_priest_effect_atomicsmash.NPK              无双击
sprite_character_priest_effect_avengerawakening.npk          恶魔化执行审判者
sprite_character_priest_effect_avengerawakening_attack.npk   审判者的黑暗杀戮血刃特效
sprite_character_priest_effect_avengerawakening_attack_attack1_2.npk 
sprite_character_priest_effect_avengerawakening_dash.npk    执行审判者的移动冲击特效
sprite_character_priest_effect_awakening.npk                执行审判者的特效
sprite_character_priest_effect_baekho.NPK                   式神·白虎
sprite_character_priest_effect_battleauramastery.NPK       普通攻击拳气
sprite_character_priest_effect_battleaxemastery.NPK         斧头精通特效
sprite_character_priest_effect_bigbangpunch.NPK            泯灭神击
sprite_character_priest_effect_bladeofpurewhite.NPK       纯白之刃
sprite_character_priest_effect_bless.NPK                    天使祝福
sprite_character_priest_effect_bluedragon.NPK              苍龙逐日
sprite_character_priest_effect_chakraofcalmness.NPK         脉轮·圣光和寒冰
sprite_character_priest_effect_chakraofpassion.NPK          脉轮·烈焰
sprite_character_priest_effect_changehptomp.NPK             化魔
sprite_character_priest_effect_chargeweapon.NPK             空斩打蓄满力特效
sprite_character_priest_effect_choppinghammer.NPK           破碎之锤
sprite_character_priest_effect_darkstrike.NPK               黑暗切割
sprite_character_priest_effect_deflectwall.NPK               圣光沁盾
sprite_character_priest_effect_devilstrike.npk              审判者的攻击特效
sprite_character_priest_effect_disaster_active.npk           天灾降临时的跃空特效
sprite_character_priest_effect_disaster_exp.npk            天灾降临时的攻击特效
sprite_character_priest_effect_disaster_fallingdown.npk    天灾降临时的空降特效
sprite_character_priest_effect_disaster_ready.npk           天灾降临前的跃空特效
sprite_character_priest_effect_divinecrush.NPK              圣拳锤击
sprite_character_priest_effect_divinelight.NPK              圣光守护
sprite_character_priest_effect_earthquake.npk               裂地阵
sprite_character_priest_effect_emblemofsafeguard.NPK        守护纹章
sprite_character_priest_effect_enteringnirvana.NPK          破魔符
sprite_character_priest_effect_execution.npk                审判者执刑时的攻击特效
sprite_character_priest_effect_fallingsoul.npk             堕落之魂
sprite_character_priest_effect_fastmove.npk                 高速移动
sprite_character_priest_effect_flashglobe.NPK               圣光球
sprite_character_priest_effect_fountainoflife.NPK           生命源泉
sprite_character_priest_effect_galesmash.NPK                疾风打
sprite_character_priest_effect_giantswing.NPK                疾空旋风破
sprite_character_priest_effect_gloriousbless.NPK            荣誉祝福
sprite_character_priest_effect_gorgeouscombination.NPK      圣拳连击
sprite_character_priest_effect_grasphandofanger.NPK         恶魔之手
sprite_character_priest_effect_hammerofcontrition.NPK    忏悔之锤
sprite_character_priest_effect_healwind.NPK                 圣愈之风
sprite_character_priest_effect_heavenlycombination.NPK       神圣组合拳
sprite_character_priest_effect_hedgehog.npk                  保护之刺
sprite_character_priest_effect_highspeedslash.npk          高速斩
sprite_character_priest_effect_homerun.NPK                  星落打
sprite_character_priest_effect_hotcross.NPK                 圣光十字
sprite_character_priest_effect_hpmaxupparty.NPK            天堂谐音
sprite_character_priest_effect_hpmaxuppersonal.NPK         天籁之音
sprite_character_priest_effect_hurricaneroll.NPK            极速飓风拳
sprite_character_priest_effect_hyunmoo.NPK                  式神·玄武
sprite_character_priest_effect_judgement.NPK                正义审判
sprite_character_priest_effect_machinegunjab.NPK            刺拳猛击
sprite_character_priest_effect_oppressiontalisman.NPK      压制符
sprite_character_priest_effect_oxcrash.NPK                 断空锤击
sprite_character_priest_effect_pandemonium.npk             伏魔殿
sprite_character_priest_effect_powerofdarkness.npk         黑暗权能
sprite_character_priest_effect_quakearea.NPK                落凤锤
sprite_character_priest_effect_repeatedsmash.NPK            狂乱锤击
sprite_character_priest_effect_revengeoflight.NPK          光之复仇
sprite_character_priest_effect_ripper.npk                  撕裂者
sprite_character_priest_effect_risingarea.NPK               升天阵
sprite_character_priest_effect_sacrificeofsoul.NPK         灵魂牺牲
sprite_character_priest_effect_scythemastery.NPK           镰刀精通特效
sprite_character_priest_effect_shadowboxer.NPK              幻影分身
sprite_character_priest_effect_shikigami.NPK               式神·殇
sprite_character_priest_effect_sidewind.NPK               瞬拳
sprite_character_priest_effect_slowheal.NPK                 缓慢愈合
sprite_character_priest_effect_smasher.NPK                   虎袭特效
sprite_character_priest_effect_spearofvictory.NPK          胜利之矛
sprite_character_priest_effect_spincutter.npk               旋转切割
sprite_character_priest_effect_striking.NPK                 武器祝福
sprite_character_priest_effect_throwweapon.NPK              巨旋风
sprite_character_priest_effect_thunderbolttalisman.NPK     落雷符
sprite_character_priest_effect_vermilionbirdtalisman.NPK    朱雀符
sprite_character_priest_effect_willdriver.NPK               意念驱动
sprite_character_priest_effect_deflectwallex.NPK            双子沁盾
sprite_character_priest_effect_flashglobeex.NPK             圣光琉璃碎
sprite_character_priest_effect_heavenlycombinationex.NPK    破魂组合拳
sprite_character_priest_effect_hyunmooex.NPK                式神·真玄武
sprite_character_priest_effect_machinegunjabex.NPK          刺拳狂击
sprite_character_priest_effect_repeatedsmashex.NPK          狂暴锤击
鬼剑士♀
注意事项
女鬼剑士的技能名是按单机版的，不一定同国服同名，但是大部分技能图标绝对是正确的，虽然有些是我猜测的，不一定准确。
sprite_character_swordman_effect_addwave.NPK
剑宗剑气特效
sprite_character_swordman_effect_addwave_light.NP
剑宗剑气特效
sprite_character_swordman_effect_atautoguard.NPK
收剑特效
sprite_character_swordman_effect_atbalgumsool.NPK
爆炸特效
sprite_character_swordman_effect_atbladesoul.NPK
剑宗觉醒被动【剑宗50】
sprite_character_swordman_effect_atblooddance.NPK
蛇腹剑缚【剑魔技能】
sprite_character_swordman_effect_atbloodseal.NPK 
血魔人【剑魔30技能】
sprite_character_swordman_effect_atcalldaimus.NPK
破天链（开双刀，变魔鞭）【剑魔15技能，相当于狂战变身】
sprite_character_swordman_effect_atchainslash.NPK
三段斩【女鬼剑士技能】
sprite_character_swordman_effect_atchangesword.NPK
 属性变换【剑宗15技能】
sprite_character_swordman_effect_atclawblade.NPK
魔君乱舞（当是小漫的枪舞就是了）【剑魔35技能】
sprite_character_swordman_effect_atcounterslash.NPK
三段斩后奏【女鬼剑士技能】
sprite_character_swordman_effect_atdarkslash.NPK
暗影斩【女鬼剑士技能】
sprite_character_swordman_effect_atdarkstrike.NPK
剑魔击杀【剑魔45技能】
sprite_character_swordman_effect_atdevilishness.NPK 
处刑or女鬼剑士1级被动【女鬼剑士技能（1级or5级）】
sprite_character_swordman_effect_atdevilslash.NPK
恶即斩（幻影剑舞）【剑宗45技能】
sprite_character_swordman_effect_atdevilslash_hit.NPK
同上
sprite_character_swordman_effect_atelementaleffect.NPK
剑宗四属性武器特效
sprite_character_swordman_effect_atelementalsword.NPK
剑宗四种属性武器
sprite_character_swordman_effect_atexcalibur.NPK
爆鸣气剑【剑宗40技能】
sprite_character_swordman_effect_atexecution.NPK
暴食者镓罗亚【剑魔60技能】
sprite_character_swordman_effect_atflash.NPK
光影拔刀【剑宗30技能】
sprite_character_swordman_effect_atfrenzy.NPK
处刑or女鬼剑士1级被动【女鬼剑士技能（1级or5级）】
sprite_character_swordman_effect_atgigablade.NPK
剑魔觉醒-giga（怎么又是吉格）暗影剑-风暴之刃【剑魔觉醒50】
sprite_character_swordman_effect_atgreed.NPK
状态技能
sprite_character_swordman_effect_atgroupdance.NPK
血地君魔【剑魔40技能】
sprite_character_swordman_effect_atgrowtype.NPK
职业特征-剑宗、剑魔
sprite_character_swordman_effect_athalfmoon.NPK
不要看见moon就说是月光斩哦--弧光旋刃（女鬼版拔刀）【剑宗35技能】
sprite_character_swordman_effect_atillusionslash.NPK
幻影剑【女鬼剑士技能】
sprite_character_swordman_effect_atjackcatch.NPK
看贴图咋像小漫的双枪极舞刃，看动画就像极鬼剑术风暴式哦~哼----剑龙卷，【剑宗60技能】
sprite_character_swordman_effect_atliftslash.NPK
很华丽的女鬼版巴拉克的野心，幻影剑又一奏
sprite_character_swordman_effect_atmagicswordup.NPK
又是剑宗四属性武器特效啊
sprite_character_swordman_effect_atmountaincrash.NPK
看出来了----崩山击     单机版没有的
sprite_character_swordman_effect_atoverdrive.NPK
状态技能，应该是破极兵刃---神剑合一【剑宗技能】
sprite_character_swordman_effect_atpikesword.NPK
蛇形手（听起来像噬魂之手，用起来像街霸抓人过来的那招）【剑魔技能】
sprite_character_swordman_effect_atsiryun.NPK
时轮剑【女鬼剑士技能】
sprite_character_swordman_effect_atsnakedance.NPK
蛇腹剑无【剑魔技能】
sprite_character_swordman_effect_atspeedslash.NPK
瞬剑（一段斩）【女鬼剑士技能】
sprite_character_swordman_effect_atspinslash.NPK
按照贴图的特效来看是银光落刃，但女鬼银光不是这个，单机版没有的技能
sprite_character_swordman_effect_atthunderslash.NPK
追命斩（在DNF单机版里总算女鬼一个唯一的无敌技能）【剑宗25技能】
sprite_character_swordman_effect_attimeslash.NPK
极鬼剑术时空斩【剑宗觉醒50】
sprite_character_swordman_effect_atupperslash.NPK
破军，单机版叫破天击……【剑宗20技能】
sprite_character_swordman_effect_atwhipswordbal.NPK
蛇腹剑发（淫光落刃）【剑魔技能】
sprite_character_swordman_effect_atwildwhip.NPK
爆流螺旋（当是小漫的枪舞就是了）【剑宗25技能】
sprite_character_swordman_effect_atwillpower.NPK
破天链后奏（变魔鞭的鞭）
以上技能名以DNF官网为准
我就能力和时间有限有两招未翻译出


剑魔70EX                            剑宗70EX
望有韩服高手补充
深夜通宵之作~~~
鬼剑士♂
时装
sprite_character_swordman_equipment_avatar_belt.NPK         腰部
sprite_character_swordman_equipment_avatar_cap.NPK          帽子 
sprite_character_swordman_equipment_avatar_coat.NPK         衣服
sprite_character_swordman_equipment_avatar_face.NPK         脸部 
sprite_character_swordman_equipment_avatar_hair.NPK         头发 
sprite_character_swordman_equipment_avatar_neck.NPK         胸部 
sprite_character_swordman_equipment_avatar_pants.NPK        裤子 
sprite_character_swordman_equipment_avatar_shoes.NPK        鞋子 
sprite_character_swordman_equipment_avatar_skin.NPK         皮肤
武器
sprite_character_swordman_equipment_weapon_beamswd.NPK      光剑
sprite_character_swordman_equipment_weapon_boneswd.NPK      短剑 - 骨剑
sprite_character_swordman_equipment_weapon_club.NPK         钝器
sprite_character_swordman_equipment_weapon_gemswd.NPK       短剑 - 宝石剑
sprite_character_swordman_equipment_weapon_katana.NPK       太刀
sprite_character_swordman_equipment_weapon_lgswd.NPK        短剑 - 西洋剑
sprite_character_swordman_equipment_weapon_lkatana.NPK      太刀 - 长太刀
sprite_character_swordman_equipment_weapon_lswd.NPK         巨剑
sprite_character_swordman_equipment_weapon_mswd.NPK         巨剑 - 宽刃剑
sprite_character_swordman_equipment_weapon_sswd.NPK         短剑
职业特征
sprite_character_swordman_equipment_growtype.NPK       剑魂、狂战、修罗
sprite_character_swordman_effect.NPK                      鬼泣、技能图标、其他特效
sprite_character_swordman_equipment_growtype_bloodevil.NPK          帝血弑天
sprite_character_swordman_equipment_growtype_darklord.NPK            黑暗君主
sprite_character_swordman_equipment_growtype_indaratian.NPK           天帝
sprite_character_swordman_equipment_growtype_jianshen.NPK               剑神
二次觉醒过屏走图、二次觉醒插图、二次觉醒特写（几种叫法一种内容姐）
sprite_character_swordman_effect_cutin.NPK
sprite_character_swordman_effect_blache.NPK                 第七鬼神：邪神怖拉修
sprite_character_swordman_effect_bladephantom.NPK               幽冥剑影阵
sprite_character_swordman_effect_blastblood.NPK            怒气爆发
sprite_character_swordman_effect_bloodboom.NPK             浴血之怒
sprite_character_swordman_effect_bloodevil.NPK              狂战静止时的血手
sprite_character_swordman_effect_bloodinkanet.NPK             狂战剑气特效
sprite_character_swordman_effect_bloodmarble.NPK                  魔煞血陨
sprite_character_swordman_effect_bloodriven.NPK                    血魔弑天
sprite_character_swordman_effect_bloodsword.NPK            血气之刃
sprite_character_swordman_effect_bloodyrave.NPK            噬魂封魔斩
sprite_character_swordman_effect_chargecrash.NPK             破军升龙击
sprite_character_swordman_effect_darktoleranceup.NPK         暗月降临
sprite_character_swordman_effect_descentsoul.NPK                鬼神诏令
sprite_character_swordman_effect_dashattackmultihit.NPK      连突刺
sprite_character_swordman_effect_epidemicrasa.NPK          瘟疫之罗刹
sprite_character_swordman_effect_firewave.NPK               爆炎·波动剑
sprite_character_swordman_effect_flowmindone.NPK          流心·刺
sprite_character_swordman_effect_flowmindpowerup.NPK        流心·狂
sprite_character_swordman_effect_flowmindthree.NPK       流心·升
sprite_character_swordman_effect_flowmindtwo.NPK          流心·跃
sprite_character_swordman_effect_frenzy.NPK              血之狂暴
sprite_character_swordman_effect_ghostsidewind.npk          鬼剑鞭
sprite_character_swordman_effect_ghoststep.NPK              鬼影步
sprite_character_swordman_effect_giveblood.NPK              嗜血
sprite_character_swordman_effect_gorecross.NPK              十字斩
sprite_character_swordman_effect_grabblastblood.NPK          嗜魂之手
sprite_character_swordman_effect_guard.NPK                 格挡
sprite_character_swordman_effect_handlingsword.NPK              万剑归宗
sprite_character_swordman_effect_hardattackcharge.NPK       噬灵鬼斩
sprite_character_swordman_effect_hellbenter.NPK              魔狱血刹
sprite_character_swordman_effect_hopsmash.NPK              崩山击
sprite_character_swordman_effect_hundredsword.NPK            极 · 鬼剑术（暴风式）
sprite_character_swordman_effect_illusionslash.NPK          幻影剑舞
sprite_character_swordman_effect_illusionslash_finish.npk 剑魂钝器精通追加的剑风冲击波
sprite_character_swordman_effect_indaramang.NPK               波动剑：天网
sprite_character_swordman_effect_indratian.NPK                        电光
sprite_character_swordman_effect_jumpattackmulti.NPK       空中连斩
sprite_character_swordman_effect_kalla.NPK                  冥炎之卡洛
sprite_character_swordman_effect_lightninggod.NPK              雷神
sprite_character_swordman_effect_meteorsword.NPK             极·神剑术（流星落）
sprite_character_swordman_effect_momentaryslash.NPK          拔刀斩
sprite_character_swordman_effect_outragebreak.NPK            崩山裂地斩
sprite_character_swordman_effect_rapidmoveslash.NPK            猛龙断空斩
sprite_character_swordman_effect_reflectguard.NPK            鬼印珠
sprite_character_swordman_effect_shockwavearea.NPK          邪光波动阵
sprite_character_swordman_effect_shortswordmastery.npk     剑魂短剑精通上挑追加的剑气
sprite_character_swordman_effect_standalonewave.NPK         无双波
sprite_character_swordman_effect_standalonewave_light.NPK        二觉后无双波
sprite_character_swordman_effect_stateoflimit.NPK            二觉后剑神剑气特效
sprite_character_swordman_effect_swordofmind.NPK              极·神剑术（破空斩）
sprite_character_swordman_effect_tripleslash.NPK            三段斩
sprite_character_swordman_effect_triplestab.npk            鬼影三击剑
sprite_character_swordman_effect_vajra.NPK                       天雷：金刚杵
sprite_character_swordman_effect_vaneslash.NPK            裂波斩
sprite_character_swordman_effect_vaneslash_light.NPK        二觉后裂波斩
sprite_character_swordman_effect_waveeye.NPK               暗天波动眼
sprite_character_swordman_effect_waveeye_light.NPK          二觉后暗天波动眼
sprite_character_swordman_effect_wavemark.NPK               波动刻印
sprite_character_swordman_effect_wavespinarea.NPK           不动明王阵
sprite_character_swordman_effect_wavespinarea_light.NPK          二觉后不动明王阵
sprite_character_swordman_effect_weaponcombo.NPK            里·鬼剑术
sprite_character_swordman_effect_zig.NPK               王者号令：吉格降临
sprite_monster_zig.NPK                                   王者号令：吉格降临
sprite_character_swordman_effect_blastbloodex.NPK          血气爆发
sprite_character_swordman_effect_chagecrashex.NPK           破军斩龙击
sprite_character_swordman_effect_grabblastbloodex.NPK        灭魂之手
sprite_character_swordman_effect_icewaveex.NPK              极冰·裂波剑
sprite_character_swordman_effect_momentaryslashex.NPK       破空拔刀斩
sprite_character_swordman_effect_sayaex.NPK                  冰晶之萨亚
sprite_character_swordman_effect_tombstoneex.NPK            墓碑三绝阵
暗夜使者
时装
sprite_character_thief_equipment_avatar_belt.NPK            腰部
 sprite_character_thief_equipment_avatar_cap.NPK             帽子
sprite_character_thief_equipment_avatar_coat.NPK            衣服
sprite_character_thief_equipment_avatar_face.NPK            脸部
sprite_character_thief_equipment_avatar_hair.NPK            头发
sprite_character_thief_equipment_avatar_neck.NPK            胸部
sprite_character_thief_equipment_avatar_pants.NPK           裤子
sprite_character_thief_equipment_avatar_shoes.NPK           鞋子
sprite_character_thief_equipment_avatar_skin.NPK            皮肤
武器
sprite_character_thief_equipment_weapon_dagger.NPK          匕首
sprite_character_thief_equipment_weapon_twinswd.NPK         双剑
sprite_character_thief_equipment_weapon_wand.NPK            权杖 
职业特征
sprite_character_thief_effect.NPK                     死灵、刺客
技能
sprite_character_thief_effect_ambitionofballacre.NPK         巴拉克的野心
sprite_character_thief_effect_anklecut.NPK                碎踝
sprite_character_thief_effect_ballacre.NPK                   降临：暴君巴拉克
sprite_character_thief_effect_blackarea.NPK                 暗影蛛丝阵
sprite_character_thief_effect_blackwave.NPK                吸魂暗劲波
sprite_character_thief_effect_blameofdead.NPK              死灵之怨
sprite_character_thief_effect_boneshield.NPK               骨盾
sprite_character_thief_effect_chargeeffect.NPK             蓄力的特效
sprite_character_thief_effect_cursespear.NPK                 诅咒之箭
sprite_character_thief_effect_darklure.NPK                   百鬼夜行
sprite_character_thief_effect_darknail.NPK                死亡之爪
sprite_character_thief_effect_darkritual.NPK                 暗黑仪式
sprite_character_thief_effect_darksoul.NPK                  暗魂波
sprite_character_thief_effect_doublepierce.NPK             双刃穿刺
sprite_character_thief_effect_excelstrikeadd.NPK             雷光刃影
sprite_character_thief_effect_flyingsquirrel.NPK           飞鼠
sprite_character_thief_effect_guillotine.NPK                 巴拉克的愤怒
sprite_character_thief_effect_hurricane.NPK                剑刃风暴
sprite_character_thief_effect_nicolaszombie.NPK            驱使僵尸
sprite_character_thief_effect_phantomstrom.NPK             千魂祭
sprite_character_thief_effect_silverstream.NPK             月轮舞
sprite_character_thief_effect_skintakeoff.NPK               忍法：影分身
sprite_character_thief_effect_sonicassault.NPK              疾风乱舞
sprite_character_thief_effect_sworddance.NPK               旋舞斩
sprite_character_thief_effect_throwknife.NPK                手里剑
sprite_character_thief_effect_verticalspiral.NPK            螺旋穿刺
sprite_character_thief_ui.NPK               连击点和尼古拉斯的行动模式选择
sprite_character_thief_effect_blackareaex.NPK               死灵之缚特效
sprite_character_thief_effect_blackwaveex.NPK                释魂暗劲波
sprite_character_thief_effect_blameofdeadex.NPK             死灵之缚
sprite_character_thief_effect_chainsawex.NPK                陨落螺旋刺
sprite_character_thief_effect_verticalspiralex.NPK          旋刃冲击

creature宠物
sprite_creature_2013snake_blue.NPK    20136月30整点活动送的宠物蛇-蓝色
sprite_creature_2013snake_darkblue.NPK    20136月30整点活动送的宠物蛇-深蓝色
sprite_creature_2013snake_green.NPK      20136月30整点活动送的宠物蛇-绿色
sprite_creature_2013snake_orange.NPK      20136月30整点活动送的宠物蛇-橙色
sprite_creature_2013snake_purple.NPK   20136月30整点活动送的宠物蛇-紫色
sprite_creature_2013snake_rainbow.NPK   20136月30整点活动送的宠物蛇-白色
sprite_creature_2013snake_red.NPK    20136月30整点活动送的红色宠物蛇和红色宠物龙
sprite_creature_2013snake_yellow.NPK              20136月30整点活动送的黄色宠物蛇
sprite_creature_amy.NPK                                     亚米
sprite_creature_aquajello.NPK                               冰翼之魂
sprite_creature_artbook_creature_effect.NPK
sprite_creature_bakal.NPK                                   迷你巴卡尔
sprite_creature_balam.NPK                                   巴拉姆
sprite_creature_belz.NPK                                    贝雷斯
sprite_creature_belzebe.NPK                                 贝雷斯普
sprite_creature_belzebuite.NPK                              贝雷斯普特
sprite_creature_berith.NPK                                  比利士
sprite_creature_bobo.NPK                                    波比
sprite_creature_botis.NPK                                   波提斯
sprite_creature_brass.NPK                                   看书后会变样的宠物
sprite_creature_bonnybunny.NPK                              金钱兔
sprite_creature_bronzepig.NPK                               铜色猪
sprite_creature_brownie.NPK                                 宠物狗-彩色雕像-韩服
sprite_creature_camelcricket.NPK                            蟋蟀
sprite_creature_charp.NPK                                   红色蛇虫
sprite_creature_chinadragon.NPK                             冰息蓝龙和冰息红龙
sprite_creature_chn_defense_town_goblin.NPK                 迷你哥布林
sprite_creature_chn_shelby_common.NPK                        2013春节龙女特征
sprite_creature_chn_shelby_common_normal.NPK            2013春节龙女第1招技
sprite_creature_chn_shelby_common_over.NPK            2013春节龙女第2招技
sprite_creature_chn_shelby_shelbyblue.NPK                2013春节蓝色龙女
sprite_creature_chn_shelby_shelbyblue_normal.NPK      2013春节蓝色龙女第1招技
sprite_creature_chn_shelby_shelbyblue_over.NPK              2013春节蓝色龙女第2招技
sprite_creature_chn_shelby_shelbyblack.NPK                        2013春节黑色龙女
sprite_creature_chn_shelby_shelbyblack_normal.NPK     2013春节黑色龙女第1招技
sprite_creature_chn_shelby_shelbyblack_over.NPK      2013春节黑色龙女第2招技
sprite_creature_chn_shelby_shelbypink.NPK             2013春季粉色龙女
sprite_creature_chn_shelby_shelbypink_normal.NPK       2013春季粉色龙女第1招技能
sprite_creature_chn_shelby_shelbypink_over.NPK           2013春季粉色龙女第2招技能
sprite_creature_chn_shelby_shelbyred.NPK                           2013春季红色龙女
sprite_creature_chn_shelby_shelbyred_normal.NPK           2013春季红色龙女第1招技能
sprite_creature_chn_shelby_shelbyred_over.NPK           2013春季红色龙女第2招技能
sprite_creature_chn_tree_creature.NPK                                     小树苗
sprite_creature_chn_tree_creature_tspirit_04_common.NPK           小树苗技能
sprite_creature_chn_tree_creature_tspirit_04_maple.NPK                 红色枫叶
sprite_creature_chn_tree_creature_tspirit_04_normal.NPK                 绿色枫叶
sprite_creature_chowchow.NPK                                金毛球
sprite_creature_common.NPK                                  宠物的一些特效文件
sprite_creature_dragon.NPK                                  虚祖蓝漓龙和虚祖绿蛟龙
sprite_creature_earthgoblin.NPK                             大地哥布林
sprite_creature_elbon.NPK                                   伊尔本
sprite_creature_fairytail_erza.NPK                      妖精的尾巴活动宠物艾露莎
sprite_creature_fairytail_lucy.NPK                      妖精的尾巴活动宠物露西
sprite_creature_fairytail_natsu.NPK                      妖精的尾巴活动宠物纳兹
sprite_creature_faras.NPK                                   佛拉斯
sprite_creature_fate_berserker.NPK                       fate活动宠物
sprite_creature_fate_berserker_appearance.NPK           fate活动兰斯洛特-出现
sprite_creature_fate_berserker_overskill.NPK             fate活动兰斯洛特-技能2
sprite_creature_fate_berserker_roar.NPK                       fate活动兰斯洛特-化魔
sprite_creature_fate_berserker_skill.NPK                       fate活动兰斯洛特-技能1
sprite_creature_fate_berserker_streetlamp.NPK        fate活动兰斯洛特-技能环境特效
sprite_creature_fate_lancer.NPK              fate活动迪卢木多
sprite_creature_fate_lancer_buff.NPK                fate活动迪卢木多特效
sprite_creature_fate_rider.NPK                fate活动伊斯坎达尔
sprite_creature_fate_rider_buff.NPK                      fate活动伊斯坎达尔特效
sprite_creature_fate_saver.NPK                       fate活动阿尔托莉亚
sprite_creature_fate_saver_buff.NPK               fate活动阿尔托莉亚特效
sprite_creature_girlsday.NPK                                女生
sprite_creature_glasya.NPK                                  格剌希亚拉波斯
sprite_creature_goldpig.NPK                                 金色猪
sprite_creature_haagenti.NPK                                哈艮地
sprite_creature_halphas.NPK                                 红色蛇虫进化 哈帕斯
sprite_creature_hellhound.NPK                            幽灵狗
sprite_creature_ignis.NPK                                   火翼之魂
sprite_creature_launchergirl.NPK               兔精灵卫队长月蝉和兔精灵战士灵芸
sprite_creature_littletiger.NPK                             可爱虎和淘气虎
sprite_creature_marbas.NPK                                  玛巴斯
sprite_creature_nazarl.NPK                                  纳扎鲁
sprite_creature_ox.NPK                                      憨憨牛
sprite_Creature_panda.NPK                                   吉祥熊猫
sprite_creature_pentabas.NPK                                佛尔卡斯
sprite_creature_petit_alex.NPK                              小夜叉
sprite_creature_petit_ashcore.NPK                           小火龙
sprite_creature_petit_assaulter.NPK                         小牛怪
sprite_creature_petit_bebe.NPK                                 BB仔
sprite_creature_petit_itrenog.NPK                            小水龙
sprite_creature_petit_lotus.NPK                             小罗特斯
sprite_creature_petit_marpissa.NPK                          小蜘蛛
sprite_creature_petit_nagor.NPK                              小暗龙
sprite_creature_petit_nemaug.NPK                         小金龙
sprite_creature_petit_skeleton.NPK                          小骷髅
sprite_creature_petit_tiger.NPK                             小寒冰虎
sprite_creature_phoenix.NPK                                 菲尼克斯
sprite_creature_pinocchia.NPK                               长鼻妹
sprite_creature_pinocchio.NPK                               长鼻男
